Years At Western,Time Type,Job Family,Department,Race Ethnicity,Veteran Status,Veteran Status (External),Disability Status,Disability Status (External),Age,Gender
1,Part time,Faculty,Marketing,White ,I AM NOT A VETERAN,Not Specified,"Yes, I Have A Disability, Or Have A History/Record Of Having A Disability",Not Specified,53,Male
1,Part time,Faculty,Marketing,White ,Not Specified,Not Specified,Not Specified,Not Specified,53,Male
1,Part time,Faculty,Marketing,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,53,Male
1,Part time,Faculty,Marketing,White ,Not Specified,Not Specified,Not Specified,Not Specified,53,Male
1,Part time,Faculty,Marketing and Enrollment,White ,Not Specified,Not Specified,Not Specified,Not Specified,53,Male
1,Part time,Faculty,Marketing and Enrollment,White ,Not Specified,Not Specified,Not Specified,Not Specified,53,Male
1,Part time,Faculty,Marketing and Enrollment,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,53,Male
1,Part time,Faculty,Marketing and Enrollment,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,53,Male
1,Part time,Faculty,Marketing and Enrollment,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,53,Male
1,Part time,Faculty,Marketing and Enrollment,White ,I AM NOT A VETERAN,Not Specified,I Don't Wish To Answer,Not Specified,54,Male
1,Part time,Faculty,Master of Behavioral Science,White ,I AM NOT A VETERAN,Not Specified,"Yes, I Have A Disability, Or Have A History/Record Of Having A Disability",Not Specified,54,Male
1,Part time,Faculty,Master of Behavioral Science,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,54,Male
1,Part time,Faculty,Masters in Gallery Management,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,54,Male
0,Part time,Faculty,Masters in Gallery Management,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,54,Male
0,Part time,Faculty,Multicultural Affairs,White ,I DO NOT WISH TO SELF-IDENTIFY,Not Specified,I Don't Wish To Answer,Not Specified,54,Male
0,Part time,Faculty,Music,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,54,Male
0,Part time,Faculty,Music,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,54,Male
0,Part time,Faculty,Music,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,54,Male
0,Part time,Faculty,Music,White ,Not Specified,Not Specified,Not Specified,Not Specified,54,Male
0,Part time,Faculty,Music,White ,Not Specified,Not Specified,Not Specified,Not Specified,54,Male
0,Part time,Faculty,Music,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,54,Male
0,Part time,Faculty,Music,White ,I AM NOT A VETERAN,Not Specified,"Yes, I Have A Disability, Or Have A History/Record Of Having A Disability",Not Specified,54,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,I Don't Wish To Answer,Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,I Don't Wish To Answer,Not Specified,55,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,Histpanic or Latino,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,I Don't Wish To Answer,Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,Not Specified,Not Specified,Not Specified,Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,I Don't Wish To Answer,Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,Histpanic or Latino,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,56,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,57,Male
0,Part time,Faculty,Natural and Environmental Sciences,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,57,Male
0,Part time,Faculty,Office of Inclusivity,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,57,Male
0,Part time,Faculty,Office of Inclusivity,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,57,Male
0,Part time,Faculty Adjunct,Office of Inclusivity,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,57,Male
0,Part time,Faculty Adjunct,Office of Inclusivity,White ,Not Specified,Not Specified,Not Specified,Not Specified,58,Male
0,Part time,Faculty Adjunct,Office of the President,White ,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,58,Male
0,Part time,Faculty Adjunct,Office of the President,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,58,Male
0,Part time,Faculty Adjunct,Office of the President,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,58,Male
0,Part time,Faculty Adjunct,Office of the President,White ,I AM NOT A VETERAN,Not Specified,"Yes, I Have A Disability, Or Have A History/Record Of Having A Disability",Not Specified,58,Male
0,Part time,Faculty Adjunct,Office of the President,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,58,Male
0,Part time,Faculty Adjunct,Office of the President,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,58,Male
0,Part time,Faculty Adjunct,Office of the President,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the President,White ,I AM NOT A VETERAN,Not Specified,I do not want to answer,Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERANS,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,I Don't Wish To Answer,Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"Yes, I Have A Disability, Or Have A History/Record Of Having A Disability",Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,59,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,Not Specified,Not Specified,Not Specified,Not Specified,60,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,Not Specified,Not Specified,Not Specified,Not Specified,60,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,Not Specified,Not Specified,Not Specified,Not Specified,60,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,60,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,60,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,60,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,I do not want to answer,Not Specified,60,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,60,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,60,Male
0,Part time,Faculty Adjunct,Office of the Provost,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,60,Male
0,Part time,Faculty Adjunct,Outdoor Industry MBA Program,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,60,Male
0,Part time,Faculty Adjunct,Outdoor Industry MBA Program,White ,"IDENTIFY AS A VETERAN, JUST NOT A PROTECTED VETERAN",Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,60,Male
0,Part time,Faculty Adjunct,Outdoor Industry MBA Program,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,60,Male
0,Part time,Faculty Adjunct,Outdoor Industry MBA Program,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,60,Male
0,Part time,Faculty Adjunct,Outdoor Industry MBA Program,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,60,Male
0,Part time,Faculty Adjunct,Outdoor Industry MBA Program,White ,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,61,Male
0,Part time,Faculty Adjunct,Procurement and Contracts,White ,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,61,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,61,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,Not Specified,Not Specified,Not Specified,Not Specified,61,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,Not Specified,Not Specified,Not Specified,Not Specified,61,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,61,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,61,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,61,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,61,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERANS,4 - Special Disabled Veterans (United States of America),"Yes, I have a disability, or have had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,Rady School of Computer Science and Engineering,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERANS,7 - Other Protected Veterans (United States of America),"No, I do not have a disability and have not had one in the past",Not Specified,62,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,63,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,Not Specified,Not Specified,Not Specified,Not Specified,63,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,63,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,I do not want to answer,Not Specified,63,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,63,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,63,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,63,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,64,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,64,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,64,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,64,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,64,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,64,Male
0,Part time,Faculty Adjunct,"Recreation, Exercise and Sport Science",Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,64,Male
0,Part time,Faculty Adjunct,Residence Life,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,64,Male
0,Part time,Faculty Adjunct,Residence Life,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,64,Male
0,Part time,Faculty Adjunct,Residence Life,Not Specified,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,64,Male
0,Part time,Faculty Adjunct,Residence Life,Two or More Races ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,64,Male
0,Part time,Faculty Adjunct,Residence Life,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,64,Male
0,Part time,Faculty Adjunct,Residence Life,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,65,Male
0,Part time,Faculty Adjunct,Residence Life,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,65,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,66,Male
0,Part time,Faculty Adjunct,School of Business,Two or More Races ,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,66,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,66,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,66,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,"IDENTIFY AS A VETERAN, JUST NOT A PROTECTED VETERAN",Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,66,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,66,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,66,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,"IDENTIFY AS A VETERAN, JUST NOT A PROTECTED VETERAN",7 - Other Protected Veterans (United States of America),"Yes, I have a disability, or have had one in the past",Not Specified,66,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,66,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,67,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,67,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,68,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,68,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,68,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,68,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,68,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,69,Male
0,Part time,Faculty Adjunct,School of Business,Two or More Races ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,69,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,70,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,70,Male
0,Part time,Faculty Adjunct,School of Business,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,70,Male
0,Part time,Faculty Adjunct,Security Services,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,70,Male
0,Part time,Faculty Adjunct,Security Services,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,70,Male
0,Part time,Faculty Adjunct,Student Affairs,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,71,Male
0,Part time,Faculty Adjunct,Student Affairs,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,71,Male
0,Part time,Faculty Adjunct,Student Affairs,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,71,Male
0,Part time,Faculty Adjunct,Student Affairs,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,71,Male
0,Part time,Faculty Adjunct,Student Affairs,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,72,Male
0,Part time,Faculty Adjunct,Student Affairs,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,72,Male
0,Part time,Faculty Adjunct,Student Retention and Completion,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,72,Male
0,Part time,Faculty Adjunct,Trades,Two or More Races ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,72,Male
0,Part time,Faculty Adjunct,Trades,Not Specified,I DO NOT WISH TO SELF-IDENTIFY,Not Specified,I do not want to answer,Not Specified,72,Male
0,Part time,Faculty Adjunct,Trades,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,73,Male
0,Part time,Faculty Adjunct,Trades,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,74,Male
0,Part time,Faculty Adjunct,Trades,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,74,Male
0,Part time,Faculty Adjunct,Trades,Two or More Races ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,75,Male
0,Part time,Faculty Adjunct,Trades,Two or More Races ,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,75,Non Binary
0,Part time,Faculty Adjunct,Trades,Not Specified,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,77,Non Binary
0,Part time,Faculty Adjunct,Transportation Services,Not Specified,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,78,Not declared
0,Part time,Faculty Adjunct,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,89,Not declared
